Date,Close/Last,Volume,Open,High,Low
05/02/2025,72.70,6960790,72.71,72.85,72.605
05/01/2025,73.06,6295350,73.34,73.37,72.95
04/30/2025,73.50,8020986,73.50,73.575,73.3701
04/29/2025,73.55,3790701,73.29,73.56,73.28
04/28/2025,73.36,4685563,73.10,73.3885,73.09
04/25/2025,73.18,4021898,73.09,73.195,73.01
04/24/2025,72.94,3751673,72.80,72.95,72.7537
04/23/2025,72.53,5283133,72.82,73.125,72.50
04/22/2025,72.38,5408208,72.49,72.5299,72.37
04/21/2025,72.25,6092946,72.49,72.635,72.245
04/17/2025,72.65,7613944,72.79,72.8299,72.6003
04/16/2025,72.81,33963340,72.66,72.85,72.5146
04/15/2025,72.61,5667509,72.36,72.735,72.35
04/14/2025,72.43,5409343,72.225,72.525,72.2047
04/11/2025,72.02,7260413,71.69,72.15,71.41
04/10/2025,72.10,8058517,72.42,72.6099,72.06
04/09/2025,72.68,20862040,71.49,72.70,71.4804
04/08/2025,72.51,12629160,72.92,73.05,72.4601
04/07/2025,72.93,14282990,73.65,73.69,72.85
04/04/2025,73.82,12677990,74.20,74.34,73.71
04/03/2025,73.76,7426162,73.76,73.995,73.62
04/02/2025,73.38,5313061,73.61,73.6196,73.18
04/01/2025,73.44,4667878,73.22,73.5768,73.21
03/31/2025,73.45,7106111,73.50,73.56,73.27
03/28/2025,73.32,4850495,73.16,73.35,73.07
03/27/2025,72.90,5568322,72.88,72.92,72.82
03/26/2025,72.93,4881976,73.02,73.0591,72.89
03/25/2025,73.09,6133739,73.00,73.1699,72.99
03/24/2025,73.00,5637341,73.19,73.22,72.98
03/21/2025,73.32,7078526,73.445,73.515,73.30
03/20/2025,73.38,3760920,73.65,73.665,73.354
03/19/2025,73.35,4201613,73.07,73.38,73.00
03/18/2025,73.13,4196326,72.98,73.22,72.97
03/17/2025,73.05,4773287,73.13,73.24,73.012
03/14/2025,72.95,5095057,73.02,73.07,72.945
03/13/2025,73.13,4711554,72.915,73.15,72.765
03/12/2025,72.91,6192986,72.91,73.0556,72.89
03/11/2025,73.06,8359398,73.20,73.425,73.04
03/10/2025,73.34,8166967,73.30,73.47,73.27
03/07/2025,73.00,5036333,73.33,73.37,72.95
03/06/2025,73.08,7196421,73.105,73.20,72.9001
03/05/2025,73.14,7758398,73.30,73.515,73.13
03/04/2025,73.40,7693140,73.61,73.75,73.3232
03/03/2025,73.61,7549672,73.25,73.6299,73.22
02/28/2025,73.66,8363466,73.52,73.685,73.405
02/27/2025,73.35,14908530,73.305,73.415,73.22
02/26/2025,73.44,5825665,73.31,73.48,73.2133
02/25/2025,73.33,4835591,73.11,73.33,73.05
02/24/2025,72.87,5580117,72.70,72.92,72.69
02/21/2025,72.765,4460631,72.535,72.86,72.53
02/20/2025,72.45,6199049,72.46,72.50,72.42
02/19/2025,72.36,4720798,72.285,72.39,72.2149
02/18/2025,72.26,7151704,72.345,72.45,72.25
02/14/2025,72.53,6131695,72.46,72.68,72.46
02/13/2025,72.30,6452940,72.16,72.37,72.07
02/12/2025,71.87,5279616,71.925,71.99,71.75
02/11/2025,72.24,6871183,72.31,72.31,72.18
02/10/2025,72.36,5439533,72.45,72.51,72.32
02/07/2025,72.34,6415636,72.39,72.44,72.2743
02/06/2025,72.56,5722073,72.56,72.65,72.48
02/05/2025,72.64,8981687,72.52,72.76,72.50
02/04/2025,72.27,7296233,72.04,72.29,71.9701
02/03/2025,72.17,7163803,72.23,72.425,72.0616
01/31/2025,72.34,6738335,72.48,72.54,72.20
01/30/2025,72.44,5622434,72.46,72.53,72.38
01/29/2025,72.34,5780349,72.43,72.49,72.17
01/28/2025,72.38,4424518,72.39,72.39,72.21
01/27/2025,72.42,8621175,72.34,72.44,72.26
01/24/2025,72.04,5555722,72.00,72.0943,71.8696
01/23/2025,71.90,7529793,72.00,72.00,71.80
01/22/2025,72.01,6616809,72.15,72.20,71.97
01/21/2025,72.16,8491622,72.21,72.21,72.0725
01/17/2025,71.95,5600397,72.10,72.10,71.91
01/16/2025,71.93,8494105,71.70,72.03,71.64
01/15/2025,71.79,5867884,71.60,71.875,71.60
01/14/2025,71.22,5165979,71.15,71.2452,71.11
01/13/2025,71.17,11856580,71.24,71.25,71.1023
01/10/2025,71.24,9602447,71.74,71.74,71.18
01/08/2025,71.61,5844375,71.48,71.6599,71.4499
