Date,Close/Last,Volume,Open,High,Low
05/02/2025,110.12,4611339,110.13,110.13,110.11
05/01/2025,110.10,5456976,110.11,110.11,110.09
04/30/2025,110.46,4592408,110.455,110.46,110.45
04/29/2025,110.43,11871510,110.44,110.45,110.43
04/28/2025,110.425,3808210,110.43,110.43,110.42
04/25/2025,110.42,4123559,110.42,110.42,110.41
04/24/2025,110.38,5434196,110.37,110.38,110.37
04/23/2025,110.37,4259544,110.365,110.37,110.35
04/22/2025,110.36,4001908,110.35,110.36,110.35
04/21/2025,110.35,2698830,110.35,110.35,110.34
04/17/2025,110.34,2704096,110.33,110.34,110.33
04/16/2025,110.29,4037520,110.285,110.29,110.28
04/15/2025,110.27,2950691,110.27,110.27,110.26
04/14/2025,110.26,6572121,110.26,110.26,110.25
04/11/2025,110.25,18461900,110.25,110.26,110.24
04/10/2025,110.20,5882425,110.22,110.22,110.20
04/09/2025,110.20,9374568,110.20,110.21,110.18
04/08/2025,110.20,8380851,110.19,110.20,110.18
04/07/2025,110.18,10155820,110.20,110.21,110.18
04/04/2025,110.17,7484954,110.185,110.20,110.17
04/03/2025,110.12,5630333,110.13,110.13,110.12
04/02/2025,110.11,6600078,110.10,110.11,110.10
04/01/2025,110.10,5617770,110.095,110.10,110.09
03/31/2025,110.46,10044010,110.46,110.47,110.46
03/28/2025,110.45,9151924,110.445,110.46,110.44
03/27/2025,110.42,9383791,110.405,110.42,110.40
03/26/2025,110.395,7843059,110.39,110.40,110.39
03/25/2025,110.39,10628840,110.39,110.40,110.38
03/24/2025,110.38,6595969,110.37,110.38,110.37
03/21/2025,110.365,6688062,110.37,110.37,110.36
03/20/2025,110.33,5684964,110.33,110.33,110.32
03/19/2025,110.305,10142770,110.30,110.31,110.30
03/18/2025,110.30,11201260,110.29,110.30,110.29
03/17/2025,110.29,6214880,110.28,110.29,110.28
03/14/2025,110.285,9071885,110.29,110.29,110.28
03/13/2025,110.24,10764650,110.24,110.25,110.24
03/12/2025,110.23,8193473,110.24,110.24,110.22
03/11/2025,110.225,8340760,110.23,110.23,110.22
03/10/2025,110.21,10331930,110.21,110.21,110.20
03/07/2025,110.20,6012465,110.20,110.20,110.19
03/06/2025,110.15,9772106,110.155,110.16,110.15
03/05/2025,110.14,9906905,110.14,110.15,110.13
03/04/2025,110.12,11094650,110.12,110.14,110.12
03/03/2025,110.11,8365767,110.11,110.12,110.11
02/28/2025,110.45,5511228,110.45,110.46,110.45
02/27/2025,110.41,3224725,110.415,110.42,110.41
02/26/2025,110.40,4963803,110.41,110.41,110.40
02/25/2025,110.395,8345213,110.38,110.40,110.38
02/24/2025,110.38,8101935,110.38,110.38,110.37
02/21/2025,110.36,5773182,110.355,110.36,110.35
02/20/2025,110.32,3588639,110.32,110.32,110.31
02/19/2025,110.31,4009374,110.29,110.31,110.29
02/18/2025,110.28,4885485,110.29,110.30,110.28
02/14/2025,110.28,3559404,110.275,110.28,110.27
02/13/2025,110.23,2823447,110.22,110.23,110.22
02/12/2025,110.20,6675018,110.20,110.21,110.20
02/11/2025,110.20,11524830,110.20,110.21,110.19
02/10/2025,110.195,6866384,110.20,110.20,110.19
02/07/2025,110.19,5093218,110.19,110.19,110.18
02/06/2025,110.16,4670199,110.155,110.16,110.15
02/05/2025,110.14,5114878,110.14,110.14,110.13
02/04/2025,110.13,5357270,110.13,110.13,110.12
02/03/2025,110.12,6264686,110.12,110.12,110.11
01/31/2025,110.505,5301086,110.50,110.51,110.50
01/30/2025,110.47,5565707,110.46,110.47,110.46
01/29/2025,110.46,4414897,110.46,110.46,110.45
01/28/2025,110.45,5094673,110.44,110.45,110.44
01/27/2025,110.44,5298297,110.43,110.44,110.43
01/24/2025,110.42,6651155,110.42,110.43,110.41
01/23/2025,110.38,7440127,110.38,110.38,110.37
01/22/2025,110.36,6999477,110.37,110.37,110.36
01/21/2025,110.355,7854063,110.36,110.36,110.35
01/17/2025,110.34,8531542,110.335,110.34,110.33
01/16/2025,110.285,9546201,110.28,110.29,110.28
01/15/2025,110.28,9348749,110.28,110.28,110.27
01/14/2025,110.26,8787855,110.26,110.26,110.25
01/13/2025,110.25,8995972,110.25,110.25,110.24
01/10/2025,110.23,8609572,110.24,110.24,110.23
01/08/2025,110.20,4330058,110.19,110.20,110.19
01/07/2025,110.20,2442653,110.18,110.20,110.18
01/06/2025,110.175,2611624,110.17,110.18,110.17
01/03/2025,110.16,2145037,110.17,110.17,110.16
01/02/2025,110.13,2479564,110.13,110.13,110.12
12/31/2024,110.11,3601203,110.11,110.12,110.10
12/30/2024,110.10,3318939,110.09,110.10,110.08
12/27/2024,110.07,3049540,110.07,110.08,110.06
12/26/2024,110.04,1981974,110.03,110.04,110.02
12/24/2024,110.02,1832442,110.025,110.03,110.01
12/23/2024,109.99,5534640,109.995,110.00,109.98
12/20/2024,109.975,2596136,109.99,109.99,109.97
12/19/2024,109.945,3319864,109.94,109.95,109.93
12/18/2024,109.92,2960988,109.91,109.93,109.91
12/17/2024,110.33,2404345,110.35,110.35,110.33
12/16/2024,110.33,2238478,110.32,110.33,110.32
12/13/2024,110.30,1653279,110.32,110.32,110.30
12/12/2024,110.27,1564736,110.27,110.28,110.27
12/11/2024,110.26,2236868,110.26,110.27,110.25
12/10/2024,110.24,1637272,110.245,110.25,110.24
12/09/2024,110.24,2567307,110.23,110.24,110.22
12/06/2024,110.22,2354002,110.21,110.22,110.21
12/05/2024,110.17,2018743,110.17,110.17,110.16
12/04/2024,110.14,3709428,110.15,110.16,110.14
12/03/2024,110.14,1738690,110.13,110.14,110.12
12/02/2024,110.11,4170146,110.11,110.11,110.10
11/29/2024,110.505,3015367,110.51,110.51,110.50
11/27/2024,110.46,2100050,110.46,110.47,110.46
11/26/2024,110.44,3266068,110.44,110.44,110.43
11/25/2024,110.425,3467234,110.42,110.43,110.42
11/22/2024,110.41,3330403,110.40,110.41,110.40
11/21/2024,110.37,5298081,110.38,110.38,110.36
11/20/2024,110.37,2160341,110.35,110.37,110.35
11/19/2024,110.345,5907865,110.345,110.35,110.34
11/18/2024,110.33,3052486,110.33,110.34,110.33
11/15/2024,110.31,3490072,110.33,110.33,110.31
11/14/2024,110.285,3675555,110.29,110.30,110.24
11/13/2024,110.28,2955976,110.265,110.28,110.26
11/12/2024,110.26,2628210,110.25,110.26,110.25
11/11/2024,110.25,2185863,110.245,110.25,110.24
11/08/2024,110.26,4919523,110.24,110.26,110.24
11/07/2024,110.20,5523444,110.20,110.21,110.19
11/06/2024,110.17,5082276,110.18,110.19,110.17
11/05/2024,110.17,3004907,110.18,110.18,110.16
11/04/2024,110.165,5295024,110.16,110.17,110.16
11/01/2024,110.15,4558218,110.15,110.15,110.14
10/31/2024,110.565,5693401,110.56,110.57,110.55
10/30/2024,110.55,4879782,110.54,110.55,110.54
10/29/2024,110.52,6641550,110.53,110.54,110.52
10/28/2024,110.515,3809660,110.51,110.52,110.51
10/25/2024,110.49,3037222,110.505,110.51,110.49
10/24/2024,110.45,5750496,110.46,110.47,110.45
10/23/2024,110.43,9123442,110.44,110.45,110.43
10/22/2024,110.43,3155568,110.43,110.45,110.43
10/21/2024,110.43,5111000,110.43,110.44,110.42
10/18/2024,110.42,2611262,110.41,110.42,110.41
10/17/2024,110.37,4522777,110.37,110.38,110.37
10/16/2024,110.37,4952893,110.365,110.37,110.36
10/15/2024,110.35,2421303,110.36,110.36,110.35
10/14/2024,110.34,2931992,110.34,110.35,110.33
10/11/2024,110.33,3949492,110.33,110.34,110.33
10/10/2024,110.28,3653494,110.28,110.29,110.28
10/09/2024,110.27,2391756,110.27,110.28,110.26
10/08/2024,110.26,5234917,110.25,110.26,110.25
10/07/2024,110.23,7826135,110.24,110.25,110.23
10/04/2024,110.24,5046190,110.25,110.26,110.24
10/03/2024,110.20,8320738,110.23,110.23,110.20
10/02/2024,110.20,10743250,110.21,110.22,110.20
10/01/2024,110.20,11744140,110.20,110.20,110.19
09/30/2024,110.63,5741056,110.64,110.64,110.63
09/27/2024,110.63,4247716,110.62,110.63,110.62
09/26/2024,110.59,3071092,110.58,110.59,110.58
09/25/2024,110.58,3090247,110.57,110.59,110.57
09/24/2024,110.56,3068788,110.55,110.57,110.55
09/23/2024,110.545,3188158,110.53,110.55,110.53
09/20/2024,110.53,2829003,110.515,110.53,110.51
09/19/2024,110.48,5525473,110.47,110.48,110.47
09/18/2024,110.46,2940177,110.43,110.46,110.42
09/17/2024,110.42,2246023,110.42,110.43,110.42
09/16/2024,110.41,1759952,110.40,110.41,110.375
09/13/2024,110.37,2626018,110.38,110.38,110.37
09/12/2024,110.31,2872417,110.315,110.32,110.31
09/11/2024,110.29,2925060,110.31,110.31,110.29
09/10/2024,110.30,5309314,110.285,110.30,110.28
09/09/2024,110.26,3424461,110.265,110.28,110.26
09/06/2024,110.26,4564787,110.26,110.27,110.25
09/05/2024,110.21,2667355,110.20,110.21,110.19
09/04/2024,110.19,2293402,110.18,110.19,110.17
09/03/2024,110.16,14611360,110.155,110.16,110.15
08/30/2024,110.60,3287783,110.60,110.61,110.59
08/29/2024,110.56,1707793,110.55,110.56,110.55
08/28/2024,110.55,1717043,110.55,110.55,110.54
08/27/2024,110.53,2982754,110.52,110.53,110.51
08/26/2024,110.51,2129576,110.51,110.51,110.50
08/23/2024,110.50,2456455,110.48,110.50,110.48
08/22/2024,110.45,2097365,110.45,110.46,110.44
08/21/2024,110.43,2495526,110.42,110.44,110.42
08/20/2024,110.41,1677956,110.40,110.41,110.39
08/19/2024,110.38,1820130,110.385,110.39,110.37
08/16/2024,110.37,2409770,110.36,110.37,110.35
08/15/2024,110.32,1865125,110.32,110.32,110.31
08/14/2024,110.305,1719855,110.31,110.31,110.30
08/13/2024,110.31,1838541,110.30,110.31,110.29
08/12/2024,110.28,1553495,110.27,110.28,110.27
08/09/2024,110.25,2021874,110.26,110.27,110.25
08/08/2024,110.21,1864625,110.22,110.23,110.21
08/07/2024,110.20,2589236,110.20,110.21,110.20
08/06/2024,110.18,3654777,110.21,110.21,110.18
08/05/2024,110.18,5589883,110.21,110.22,110.18
08/02/2024,110.18,5001082,110.16,110.19,110.16
08/01/2024,110.08,4773126,110.09,110.10,110.08
07/31/2024,110.54,2857773,110.54,110.56,110.52
07/30/2024,110.53,2107921,110.52,110.54,110.52
07/29/2024,110.52,2134315,110.51,110.52,110.51
07/26/2024,110.50,2269331,110.49,110.50,110.49
07/25/2024,110.44,2820566,110.45,110.46,110.44
07/24/2024,110.43,2528809,110.42,110.45,110.42
07/23/2024,110.415,3350974,110.41,110.42,110.40
